kk,id,StudyID,PairID,Study,LF,Location,Hab2,Species,Description,WaveType,WaveTypeVerbose,Friction.Coef.mean,Type.of.Friction.Coefficient,T,D,A,hv,H1,x1,h1,H2,x2,h2,H3,x3,h3,H4,x4,h4,H5,x5,h5,H6,x6,h6,H7,x7,h7,H8,x8,h8,H9,x9,h9,Notes
1,363,14,7,"Knutson et al 1982","field","Virginia","Bare","","Wescoat 5.1",1,"Hrms",5,"Dean's Cd",1.6,0,0,0,0.154931805814317,0,0.49,0.154931805814317,2.44,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,364,14,7,"Knutson et al 1982","field","Virginia","Bare","","Wescoat 5.2",1,"Hrms",5,"Dean's Cd",1.6,0,0,0,0.127590898905908,0,0.53,0.118477263269772,4.88,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
3,365,14,7,"Knutson et al 1982","field","Virginia","Bare","","Wescoat 5.3",1,"Hrms",5,"Dean's Cd",1.6,0,0,0,0.145818170178181,0,0.58,0.136704534542045,9.75,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
4,285,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs1",1,"Hrms",0.25,"Drag coefficient Cd",7.5,4,0.01,10.5,1.47785317267988,63,13,1.37178715550190,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
5,286,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs2",1,"Hrms",0.25,"Drag coefficient Cd",8.8,4,0.01,10.5,1.20915259582900,63,13,1.25865007051205,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
6,287,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs3",1,"Hrms",0.25,"Drag coefficient Cd",13.5,4,0.01,10.5,0.940452018978108,63,13,1.16672618895780,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
7,288,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs4",1,"Hrms",0.25,"Drag coefficient Cd",12.8,4,0.01,10.5,0.799030662740799,63,13,0.975807358037435,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
8,289,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs5",1,"Hrms",0.25,"Drag coefficient Cd",12.8,4,0.01,10.5,0.820243866176395,63,13,0.862670273047588,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
9,290,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs6",1,"Hrms",0.25,"Drag coefficient Cd",12,4,0.01,10.5,0.74953318805774,63,13,0.82731493398826,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
10,291,11,3,"Elwany et al. 1995","field","California","Kelp","Macrocystis pyrifera","Obs7",1,"Hrms",0.25,"Drag coefficient Cd",12,4,0.01,10.5,0.742462120245875,63,13,0.806101730552664,414,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
